dayOfWeek,dayOfWeekIndex,hourOfDay,value
Thursday,2,0,20
Saturday,0,1,1
Saturday,0,2,0
Saturday,0,3,0
Saturday,0,4,0
Saturday,0,5,0
Saturday,0,6,0
Saturday,0,7,0
Saturday,0,8,0
Saturday,0,9,0
Saturday,0,10,0
Saturday,0,11,2
Saturday,0,12,4
Saturday,0,13,1
Saturday,0,14,1
Saturday,0,15,3
Saturday,0,16,4
Saturday,0,17,6
Saturday,0,18,4
Saturday,0,19,4
Saturday,0,20,3
Saturday,0,21,3
Saturday,0,22,2
Saturday,0,23,5
Friday,1,0,7
Friday,1,1,0
Friday,1,2,0
Friday,1,3,0
Friday,1,4,0
Friday,1,5,0
Friday,1,6,0
Friday,1,7,0
Friday,1,8,0
Friday,1,9,0
Friday,1,10,5
Friday,1,11,2
Friday,1,12,2
Friday,1,13,6
Friday,1,14,9
Friday,1,15,11
Friday,1,16,6
Friday,1,17,7
Friday,1,18,8
Friday,1,19,12
Friday,1,20,5
Friday,1,21,5
Friday,1,22,7
Friday,1,23,2
Thursday,2,0,1
Thursday,2,1,1
Thursday,2,2,0
Thursday,2,3,0
Thursday,2,4,0
Thursday,2,5,0
Thursday,2,6,0
Thursday,2,7,0
Thursday,2,8,0
Thursday,2,9,0
Thursday,2,10,3
Thursday,2,11,2
Thursday,2,12,1
Thursday,2,13,9
Thursday,2,14,8
Thursday,2,15,10
Thursday,2,16,6
Thursday,2,17,5
Thursday,2,18,5
Thursday,2,19,5
Thursday,2,20,7
Thursday,2,21,4
Thursday,2,22,2
Thursday,2,23,4
Wednesday,3,0,7
Wednesday,3,1,3
Wednesday,3,2,0
Wednesday,3,3,0
Wednesday,3,4,0
Wednesday,3,5,0
Wednesday,3,6,0
Wednesday,3,7,0
Wednesday,3,8,1
Wednesday,3,9,0
Wednesday,3,10,5
Wednesday,3,11,4
Wednesday,3,12,7
Wednesday,3,13,14
Wednesday,3,14,13
Wednesday,3,15,12
Wednesday,3,16,9
Wednesday,3,17,5
Wednesday,3,18,5
Wednesday,3,19,10
Wednesday,3,20,6
Wednesday,3,21,4
Wednesday,3,22,4
Wednesday,3,23,1
Tuesday,4,0,1
Tuesday,4,1,3
Tuesday,4,2,0
Tuesday,4,3,0
Tuesday,4,4,0
Tuesday,4,5,1
Tuesday,4,6,0
Tuesday,4,7,0
Tuesday,4,8,0
Tuesday,4,9,2
Tuesday,4,10,4
Tuesday,4,11,4
Tuesday,4,12,2
Tuesday,4,13,4
Tuesday,4,14,4
Tuesday,4,15,14
Tuesday,4,16,12
Tuesday,4,17,1
Tuesday,4,18,8
Tuesday,4,19,5
Tuesday,4,20,3
Tuesday,4,21,7
Tuesday,4,22,3
Tuesday,4,23,0
Monday,5,0,2
Monday,5,1,1
Monday,5,2,0
Monday,5,3,3
Monday,5,4,0
Monday,5,5,0
Monday,5,6,0
Monday,5,7,0
Monday,5,8,2
Monday,5,9,0
Monday,5,10,4
Monday,5,11,1
Monday,5,12,5
Monday,5,13,10
Monday,5,14,5
Monday,5,15,7
Monday,5,16,11
Monday,5,17,6
Monday,5,18,0
Monday,5,19,5
Monday,5,20,3
Monday,5,21,4
Monday,5,22,2
Monday,5,23,0
Sunday,6,0,1
Sunday,6,1,0
Sunday,6,2,0
Sunday,6,3,0
Sunday,6,4,0
Sunday,6,5,0
Sunday,6,6,0
Sunday,6,7,0
Sunday,6,8,0
Sunday,6,9,0
Sunday,6,10,1
Sunday,6,11,0
Sunday,6,12,2
Sunday,6,13,1
Sunday,6,14,3
Sunday,6,15,4
Sunday,6,16,0
Sunday,6,17,0
Sunday,6,18,0
Sunday,6,19,0
Sunday,6,20,1
Sunday,6,21,2
Sunday,6,22,2
Sunday,6,23,6
